   St.     E_TM         N_TM       Y_GK     X_GK
  250   462578.587   116072.398   462208   116559
  251   458030.444   121123.217   457660   121610
  252   453483.347   126173.008   453113   126660
  253   448935.372   131223.825   448565   131711
  254   444388.253   136273.636   444018   136761
  255   439840.181   141324.427   439470   141812
  256   428645.351   144961.078   428275   145449
  257   433192.324   139911.234   432822   140399
  258   437740.467   134860.462   437370   135348
  259   442287.437   129810.697   441917   130298
  260   446835.546   124759.835   446465   125247
  261   451383.605   119710.041   451013   120197
  262   455930.696   114659.213   455560   115146
  263   460478.732   109609.408   460108   110096
  264   465025.850   104558.553   464655   105045
  265   469573.993    99507.747   469203    99994
  266   474121.075    94457.927   473750    94944
  267   478669.121    89407.087   478298    89893
  268   483216.186    84357.291   482845    84843
  269   487764.231    79306.491   487393    79792
  270   492311.337    74256.660   491940    74742
  271   496859.415    69205.706   496488    69691
  272   501406.562    64155.572   501035    64641
  273   505954.651    59104.663   505583    59590
  274   510501.643    54054.767   510130    54540
  275   515049.655    49003.878   514678    49489
  276   519596.652    43952.918   519225    44438
  277   524144.671    38902.994   523773    39388
  278   517496.686    37489.982   517125    37975
  279   512949.728    42539.913   512578    43025
  280   508401.724    47590.740   508030    48076
  281   503854.791    52641.484   503483    53127
  282   499306.802    57691.425   498935    58177
  283   494759.629    62742.486   494388    63228
  284   490211.523    67792.633   489840    68278
  285   485664.465    72843.506   485293    73329
  286   481116.330    77893.362   480745    78379
  287   476569.355    82944.153   476198    83430
  288   472021.257    87993.958   471650    88480
  289   467474.247    93044.789   467103    93531
  290   462926.045    98094.591   462555    98581
  291   458377.899   103145.412   458007   103632
  292   453830.789   108196.296   453460   108683
  293   449282.788   113246.092   448912   113733
  294   444735.736   118296.953   444365   118784
  295   440187.717   123346.718   439817   123834
  296   435640.732   128397.557   435270   128885
  297   431092.738   133447.302   430722   133935
  298   426545.542   138498.117   426175   138986
  299   421997.651   143548.093   421627   144036
  300   417450.624   148598.752   417080   149087
  301   410802.873   147185.738   410432   147674
  302   415350.909   142134.937   414980   142623
  303   419897.933   137084.942   419527   137573
  304   424445.908   132034.219   424075   132522
  305   428992.944   126984.353   428622   127472
  306   433540.948   121933.583   433170   122421
  307   438087.870   116883.838   437717   117371
  308   442635.960   111833.075   442265   112320
  309   447182.924   106783.129   446812   107270
  310   451730.900   101732.264   451360   102219
  311   456278.055    96681.494   455907    97168
  312   460826.135    91631.623   460455    92118
  313   465373.232    86580.722   465002    87067
  314   469921.327    81530.973   469550    82017
  315   474468.412    76480.169   474097    76966
  316   479016.589    71430.271   478645    71916
  317   483563.641    66379.378   483192    66865
  318   488111.698    61329.288   487740    61815
  319   492659.804    56278.207   492288    56764
  320   497206.811    51228.443   496835    51714
  321   501754.843    46177.517   501383    46663
  322   506301.781    41126.751   505930    41612
  323   495106.947    44764.541   494735    45250
  324   490558.981    49815.401   490187    50301
  325   486011.862    54865.131   485640    55351
  326   481463.827    59916.355   481092    60402
  327   476916.714    64966.251   476545    65452
  328   472368.638    70017.193   471997    70503
  329   467821.488    75067.059   467450    75553
  330   463273.346    80117.840   462902    80604
  331   458726.282    85167.665   458355    85654
  332   454178.248    90218.521   453807    90705
  333   449631.127    95268.370   449260    95755
  334   445083.022   100319.207   444712   100806
  335   440536.057   105370.080   440165   105857
  336   435988.018   110419.908   435617   110907
  337   431440.933   115470.724   431070   115958
  338   426893.045   120520.418   426522   121008
  339   422345.066   125571.321   421974   126059
  340   417798.155   130621.104   417427   131109
  341   413250.131   135671.981   412879   136160
  342   408703.120   140721.817   408332   141210
  343   404155.157   145772.666   403784   146261
  344   402055.304   139308.687   401684   139797
  345   406603.299   134258.927   406232   134747
  346   411150.326   129208.011   410779   129696
  347   415698.296   124158.215   415327   124646
  348   420245.300   119107.362   419874   119595
  349   424793.257   114057.567   424422   114545
  350   429340.181   109006.822   428969   109494
  351   433888.235   103957.001   433517   104444
  352   438435.285    98906.185   438064    99393
  353   442983.273    93855.269   442612    94342
  354   447531.335    88805.358   447160    89292
  355   452078.371    83754.542   451707    84241
  356   456626.474    78704.724   456255    79191
  357   461173.471    73653.966   460802    74140
  358   465721.575    68604.077   465350    69090
  359   470268.641    63553.103   469897    64039
  360   474816.704    58503.119   474445    58989
  361   479363.934    53452.331   478992    53938
  362   483912.154    48402.318   483540    48888
  363   488459.123    43351.510   488087    43837
  364   472716.815    52039.246   472345    52525
  365   468168.725    57090.065   467797    57576
  366   463620.676    62140.108   463249    62626
  367   459073.646    67191.056   458702    67677
  368   454525.595    72240.923   454154    72727
  369   449978.559    77291.693   449607    77778
  370   445430.493    82341.465   445059    82828
  371   440883.492    87392.216   440512    87879
  372   436335.395    92442.192   435964    92929
  373   431788.359    97493.095   431417    97980
  374   427240.349   102543.909   426869   103031
  375   422693.428   107593.692   422322   108081
  376   418145.409   112644.610   417774   113132
  377   413598.490   117694.375   413227   118182
  378   409050.522   122745.124   408679   123233
  379   404503.392   127794.900   404132   128283
  380   399955.392   132845.779   399584   133334
  381   395408.475   137895.475   395037   138384
  382   388760.522   136482.437   388389   136971
  383   393307.577   131432.561   392936   131921
  384   397855.525   126381.770   397484   126870
  385   402402.488   121332.056   402031   121820
  386   406950.606   116281.166   406579   116769
  387   411498.488   111231.505   411127   111719
  388   416045.660   106180.637   415674   106668
  389   420593.651   101130.769   420222   101618
