   St.   E_TM     N_TM       Y_GK         X_GK
  263   460108   110096   460478.774   109609.405
  264   464655   105045   465025.885   104558.560
  265   469203    99994   469573.977    99507.764
  266   473750    94944   474121.084    94457.927
  267   478298    89893   478669.120    89407.088
  268   482845    84843   483216.193    84357.320
  269   487393    79792   487764.245    79306.538
  270   491940    74742   492311.333    74256.672
  271   496488    69691   496859.394    69205.732
  272   501035    64641   501406.498    64155.744
  273   505583    59590   505954.559    59104.704
  274   510130    54540   510501.671    54054.813
  275   514678    49489   515049.686    49003.877
  276   519225    44438   519596.636    43952.897
  277   523773    39388   524144.583    38902.969
  278   517125    37975   517496.686    37489.979
  279   512578    43025   512949.723    42539.914
  280   508030    48076   508401.746    47590.832
  281   503483    53127   503854.696    52641.762
  282   498935    58177   499306.677    57691.453
  283   494388    63228   494759.650    62742.500
  284   489840    68278   490211.564    67792.699
  285   485293    73329   485664.463    72843.520
  286   480745    78379   481116.345    77893.392
  287   476198    83430   476569.243    82944.162
  288   471650    88480   472021.257    87993.957
  289   467103    93531   467474.248    93044.783
  290   462555    98581   462926.012    98094.609
  291   458007   103632   458377.876   103145.445
  292   453460   108683   453830.853   108196.287
  293   448912   113733   449282.771   113246.094
  294   444365   118784   444735.736   118296.953
  295   439817   123834   440187.737   123346.792
  296   435270   128885   435640.680   128397.581
  297   430722   133935   431092.642   133447.320
  298   426175   138986   426545.591   138498.136
  299   421627   144036   421997.645   143548.090
  300   417080   149087   417450.624   148598.752
  301   410432   147674   410802.873   147185.740
  302   414980   142623   415350.909   142134.937
  303   419527   137573   419897.915   137084.932
  304   424075   132522   424445.831   132034.236
  305   428622   127472   428992.831   126984.433
  306   433170   122421   433540.844   121933.643
  307   437717   117371   438087.870   116883.838
  308   442265   112320   442635.899   111832.994
  309   446812   107270   447182.925   106783.209
  310   451360   102219   451730.979   101732.339
  311   455907    97168   456278.057    96681.499
  312   460455    92118   460826.128    91631.636
  313   465002    87067   465373.272    86580.777
